SystemMillis,BMETemperature,BMEPressure,BMEApproximateAlt,BNO Quat W, BNO Quat X,BNO Quat Y,BNO Quat Z,BNO Gyro X,BNO Gyro Y,BNO Gyro Z,BNO Accel X,BNO Accel Y,BNO Accel Z,BNO_Grav_X,BNO_Grav_Y,BNO_Grav_Z,BNO CALIBRATION sys,BNOGyro,BNOAccel,BNOMagnitude,ALGOPos1,ALGOPos2,GPSHour,GPSmin,GPSsec,GPSmilli,GPSday,GPSmonth,GPSyear,GPSFix,GPSfixquality_3d,GPSLat,GPSlong,GPSSpeed,GPSAngle,GPSAlt,GPSSatNum
168243,30.05,835.79,1594.83,-0.2078,-0.6780,-0.1929,0.6782,-7.31,1.87,0.62,-9.74,0.15,-0.07,-9.80,0.19,0.06,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
168744,30.03,835.90,1593.80,-0.2197,-0.6735,-0.2060,0.6750,-8.56,0.75,-2.31,-9.80,0.17,0.14,-9.80,0.17,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
169244,30.01,836.03,1592.49,-0.2229,-0.6714,-0.2130,0.6738,-5.06,0.69,-1.50,-9.74,0.38,0.11,-9.80,0.11,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
169745,30.00,836.14,1591.52,-0.2250,-0.6703,-0.2193,0.6722,-8.63,-0.56,-1.81,-9.77,-0.02,0.05,-9.80,0.06,0.04,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
170245,29.98,836.24,1590.51,-0.2263,-0.6685,-0.2217,0.6729,-12.88,1.25,0.62,-9.82,0.14,0.36,-9.80,0.04,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
170747,29.96,836.33,1589.62,-0.2318,-0.6674,-0.2269,0.6703,-4.75,0.19,1.44,-9.77,-0.14,0.11,-9.80,0.05,0.05,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
171247,29.95,836.44,1588.56,-0.2356,-0.6665,-0.2275,0.6697,1.50,-1.25,2.44,-9.71,0.01,0.57,-9.80,0.09,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
171748,29.94,836.56,1587.41,-0.2396,-0.6644,-0.2294,0.6697,0.37,0.50,-1.00,-9.72,-0.19,0.16,-9.80,0.10,0.11,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
172248,29.92,836.67,1586.32,-0.2468,-0.6639,-0.2372,0.6649,-8.88,0.56,-0.25,-9.73,0.44,0.17,-9.80,0.11,0.05,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
172750,29.91,836.73,1585.73,-0.2453,-0.6619,-0.2407,0.6663,-18.19,1.00,1.50,-9.83,-0.26,0.23,-9.80,0.03,0.08,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
173250,29.90,836.92,1583.88,-0.2509,-0.6616,-0.2460,0.6625,11.50,2.69,-3.25,-9.70,0.12,-0.11,-9.80,0.05,0.03,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
173751,29.88,837.02,1582.88,-0.2582,-0.6600,-0.2499,0.6597,0.06,-0.94,3.31,-9.89,0.40,-0.01,-9.80,0.10,0.03,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
174252,29.87,837.12,1581.90,-0.2593,-0.6611,-0.2476,0.6591,0.75,-0.69,0.13,-9.74,-0.22,0.10,-9.80,0.15,0.03,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
174753,29.86,837.19,1581.25,-0.2715,-0.6580,-0.2554,0.6542,1.44,0.06,-1.62,-9.80,0.22,0.13,-9.80,0.22,0.03,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
175254,29.84,837.33,1579.92,-0.2787,-0.6548,-0.2614,0.6522,-9.31,-0.31,1.56,-9.68,0.30,0.05,-9.80,0.23,0.05,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
175754,29.83,837.44,1578.81,-0.2756,-0.6550,-0.2665,0.6512,-6.56,-0.62,0.19,-9.83,-0.20,-0.06,-9.80,0.13,0.00,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
176254,29.82,837.55,1577.74,-0.2791,-0.6496,-0.2744,0.6518,-0.19,-0.19,-2.50,-9.77,0.05,0.31,-9.80,0.04,0.05,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
176755,29.80,837.67,1576.58,-0.2805,-0.6483,-0.2814,0.6495,-0.56,0.75,0.81,-9.78,0.25,0.01,-9.80,-0.01,0.01,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
177255,29.79,837.78,1575.50,-0.2748,-0.6476,-0.2818,0.6525,5.62,0.19,0.31,-9.80,-0.40,0.10,-9.80,-0.11,0.02,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
177756,29.77,837.86,1574.72,-0.2825,-0.6445,-0.2859,0.6505,14.69,0.50,-2.56,-9.82,0.04,0.05,-9.80,-0.08,0.05,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
178257,29.76,837.99,1573.46,-0.2866,-0.6425,-0.2887,0.6494,-8.50,1.06,2.81,-9.65,0.00,0.24,-9.80,-0.06,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
178757,29.75,838.08,1572.64,-0.2898,-0.6434,-0.2865,0.6481,-0.44,0.81,-0.69,-9.83,-0.22,-0.11,-9.80,0.01,0.07,0,0,0,0,2000.00,0.00,,,,,,,,,,,,,,,
179258,29.74,838.19,1571.51,-0.3010,-0.6412,-0.2891,0.6439,-6.37,0.37,-1.00,-9.84,0.14,-0.03,-9.80,0.13,0.10,0,0,0,0,2000.00,0.00,20,30,56,0,13,4,24,1,0,46.4116,-119.0140,9.23,164.44,1591.30,10.00
